"Class","socnumber_0","socnumber_1","socnumber_2","socnumber_3","socnumber_4","socnumber_5","socnumber_6","socnumber_7","socnumber_8","socnumber_9","socnumber_10","socnumber_11","socnumber_12","socnumber_13","socnumber_14","socnumber_15","socnumber_16","socnumber_17","socnumber_18","socnumber_19"
1,0.351138148,0.368435305221,0.339442407258,0.34633845749,0.361545170732,0.338692057143,0.370570340164,0.324666995885,0.344397793388,0.338987016598,9326.256,10519.1967871,10122.0443548,9572.62753036,9776.38617886,9866.21632653,10139.5,9590.69547325,9310.91735537,9872.36514523
1,0.340789412698,0.376565482072,0.339263816,0.361226895582,0.384786193548,0.367458769231,0.348671788618,0.353453579592,0.360700860656,0.357802069959,9591.63492063,10090.6972112,9450.224,9418.22088353,9769.40322581,9825.8097166,9562.8495935,9442.54693878,9794.5,9489.7654321
1,0.338061227092,0.361171692,0.320041369478,0.310423887097,0.348002218623,0.31791051626,0.35595517551,0.311114590164,0.302229399177,0.319719747934,10281.6095618,10733.316,10078.6947791,9584.33064516,10448.242915,10516.2601626,9981.22040816,9670.6557377,9827.81069959,9823.44628099
1,0.382173038529,0.396470570175,0.370755892794,0.366437251761,0.370312945326,0.380510641343,0.350418690265,0.367404987589,0.365935722913,0.355834425267,9879.75481611,10040.7754386,9710.6801406,9345.53873239,9886.49206349,9722.58127208,9210.19115044,9730.67730496,9877.07282416,9303.16548043
1,0.366945381786,0.385233957895,0.355159898067,0.379189471831,0.369417493827,0.37479934629,0.338384054867,0.342209035461,0.362504154529,0.334709959075,10208.9544658,10406.745614,9809.13181019,9562.22183099,10123.2574956,9944.12367491,9360.83539823,9557.35106383,10051.5026643,9486.36654804
1,0.366768519097,0.393440431304,0.362244043554,0.352609500873,0.370437333916,0.3708788669,0.350643329825,0.351764934974,0.358374568662,0.347505705467,9542.20138889,9688.01391304,9632.04355401,9423.78883072,9675.49125874,9758.64448336,9211.3754386,9154.87521968,9642.13204225,9494.99470899
1,0.354007577236,0.363716953804,0.367787425068,0.365144412568,0.358873906849,0.355064024725,0.360786501377,0.346134069061,0.348272432133,0.357998238889,8822.88346883,9502.4076087,9170.55585831,8944.36338798,9253.82465753,9219.99175824,8956.09641873,9188.92265193,9135.47645429,9066.95833333
1,0.378059496914,0.369138455108,0.338469198758,0.350277464174,0.35116406875,0.367903159875,0.361833147799,0.358340876972,0.334978759494,0.349336631746,9520.03703704,9595.08359133,9340.22049689,9395.16510903,8947.246875,9566.11912226,9178.41194969,8882.19242902,8839.75632911,8807.08888889
1,0.361883517483,0.372011285047,0.354649985948,0.359545133803,0.34840064,0.389235995283,0.381311898345,0.369607234597,0.354213695962,0.364601795238,8905.48018648,8964.55607477,8809.62763466,9049.16666667,9158.27764706,9455.79009434,9263.89834515,9058.58530806,8829.77434679,8841.26904762
1,0.333010110497,0.371370064576,0.352068303142,0.345506311111,0.354422855288,0.367947758364,0.37028855121,0.372244419776,0.359290265421,0.350362968165,8460.03130755,9033.24169742,8627.86876155,8661.51481481,9089.85343228,8876.03159851,8724.96461825,8735.67910448,8746.01121495,8604.96067416
1,0.340064377622,0.380105670561,0.354861398126,0.361599915493,0.362971298824,0.370923176887,0.373951680851,0.390279509479,0.35213304038,0.352257385714,8666.58974359,9169.99065421,8683.38173302,9202.48591549,9297.16705882,8960.75,9111.07092199,9414.59952607,8681.42517815,8883.30238095
