"Class","acc_0","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","acc_7","acc_8","acc_9","acc_10","acc_11","acc_12","acc_13","acc_14","acc_15","acc_16","acc_17"
1,-0.05575799,-0.05563304,-0.03376509,-0.0906532,-0.03718901,0.00361275,0.05778061,0.03048545,0.05575456,-0.02192856,-0.01897923,0.0475654,0.05865243,0.04187682,0.04409322,-0.04434977,0.02228771,0.0444449
1,0.03432329,0.02745342,-0.03486387,-0.08266883,-0.14957013,0.07048078,-0.06258644,0.03139474,-0.0036505,-0.02274496,-0.00011333,0.0140471,0.07909048,-0.00672406,0.16643687,-0.0167452,-0.00315995,-0.01415202
1,-0.07137862,-0.01481259,-0.05559164,-0.0132339,-0.08781888,-0.02568968,0.02851321,0.05314253,0.06075681,-0.00132889,0.06717203,-0.07606928,0.10535573,-0.0557884,0.01513257,0.09243996,0.04387742,-0.04198103
1,-0.01865232,0.05048925,-0.07502327,-0.06810055,-0.12876587,-0.04091141,-0.03271822,0.02657689,0.00236387,0.04186697,0.09030367,-0.09454137,0.09367125,-0.07721061,0.09296573,0.08609363,0.01945977,-0.00648707
1,-0.06647506,-0.0822128,0.05393021,-0.06650785,-0.04162289,0.01925643,0.06665528,0.01343198,0.0640494,0.01418011,-0.02508701,0.00097686,0.06269674,0.00069317,0.06380206,0.0111902,-0.00471232,-0.04137961
1,0.01353994,-0.00271764,0.02206045,-0.02706076,-0.05302712,0.03991468,-0.00084895,-0.00984389,-0.00403435,0.01038676,-0.04371083,0.10117731,0.06516139,-0.03239147,0.0487384,0.00613594,-0.00434964,-0.0160369
1,-0.04630494,-0.05155778,-0.06168816,-0.03406926,0.01052004,-0.05089825,0.05816646,0.03107827,0.03986581,-0.02210999,-0.0076447,0.0343006,0.00104417,-0.02891032,-0.00708961,0.01946104,0.03580613,0.02135648
1,-0.06836059,-0.05234624,0.01996976,-0.07775291,-0.03041033,0.01191494,0.04429782,0.00294272,0.05694594,0.02467954,0.01416522,0.01902474,0.07715686,0.00323047,0.05604715,0.00610869,-0.01751731,-0.02007839
1,0.01577597,-0.00940374,0.0287618,-0.15471012,-0.14570216,0.05182843,0.0161675,-0.00220734,-0.012659,0.01338514,-0.0047841,-0.01413436,0.15941676,0.02907509,0.1246358,0.02323409,0.07251815,-0.09966988
1,0.03216701,0.0397274,0.05637009,-0.10310965,-0.14205873,0.0627368,-0.02547836,-0.03667685,-0.03164083,0.01274123,-0.022659,0.03924101,0.14609966,-0.04856042,0.08017059,0.05893862,0.03344203,-0.0958048
1,0.02815387,-0.00018543,0.01179475,-0.12295964,-0.07491038,0.00262006,-0.00641339,-0.05416163,-0.00818693,0.05170759,-0.0708552,0.03895375,0.08833688,0.12785678,0.10646232,-0.09804306,-0.01923383,-0.02388546
1,0.00850529,-0.00299137,0.00747899,-0.0980144,-0.08640364,-0.00892763,-0.00412512,-0.02109773,-0.01404327,0.00925536,-0.0429859,0.05954586,0.06535365,0.10402695,0.0964896,-0.05244745,-0.00731606,-0.01271949
1,0.03537578,0.0199919,0.03611922,-0.10488458,-0.10122005,0.00223917,-0.04603338,0.02664044,-0.03664199,0.01403761,-0.04635753,0.05978783,0.08827041,0.07334238,0.11161173,-0.05082755,0.00033942,0.03261362
1,0.01598976,0.03349712,0.01420044,-0.15057966,-0.11111561,0.03111183,-0.0505751,-0.02755737,-0.04327851,0.07350595,-0.05587541,0.07421135,0.11105624,-0.03037149,0.16677166,0.01501768,0.07186186,-0.09469172
1,0.03845983,0.00382045,-0.0099899,-0.01060402,-0.04732164,-0.01542755,-0.00387676,-0.09434391,-0.04063059,0.08583349,-0.06251622,0.05964573,0.0464982,-0.02836407,0.01877259,0.02879703,0.01796821,0.0189241
1,0.04494834,-0.01044831,-0.07107385,-0.08212274,-0.07754514,-0.01533348,-0.02494731,-0.01326547,0.01887225,-0.00281914,-0.08163521,0.05278568,0.11478912,-0.00302373,0.05592848,-0.00609268,0.0565478,0.00493536
1,0.04912893,0.05210238,-0.02745778,-0.05239863,-0.07927615,-0.01704218,-0.07815116,0.03670731,-0.00839599,-0.01074581,-0.03890248,0.01478886,0.08157503,0.00790183,0.04728574,-0.01454847,0.05682141,0.0091067
1,-0.03311496,-0.09249239,-0.10443516,-0.04362048,-0.13096066,-0.12497444,0.0273421,0.07764437,0.09219028,-0.09516455,0.01549121,0.01973626,0.10558295,0.02576991,0.1034296,-0.03326803,0.1597233,-0.1894663
1,-0.08471738,-0.10349395,-0.1554459,-0.04500984,-0.04820531,-0.11415885,0.02279012,0.09957854,0.15624325,-0.08195138,0.04208373,0.01125901,0.02269594,0.07850948,0.13538191,-0.12156886,0.12860201,-0.09656502
1,-0.11273472,-0.08070926,-0.00453501,-0.0559885,-0.05764569,0.10083877,0.03424417,0.12181154,0.09532778,-0.11984954,0.0493763,0.09580883,0.0462921,-0.05072427,0.08479867,0.03680216,-0.01260405,-0.02085623
1,-0.13588719,-0.14319744,-0.02606121,-0.02143792,-0.0269934,-0.0345753,0.16649703,0.05865024,0.13415616,-0.08668784,-0.04496193,-0.00594521,0.01778355,0.03027193,0.03090693,0.01256286,0.01565813,-0.00438695
1,-0.17063048,-0.186105,-0.0244415,0.02476802,-0.01957588,-0.01516349,0.20288028,0.04790516,0.16510784,-0.05599975,-0.02144748,-0.0071894,0.00850805,-0.02600617,-0.01031468,0.04181641,-0.03356627,0.01927242
