"Class","aac_pssm_0","aac_pssm_1","aac_pssm_2","aac_pssm_3","aac_pssm_4","aac_pssm_5","aac_pssm_6","aac_pssm_7","aac_pssm_8","aac_pssm_9","aac_pssm_10","aac_pssm_11","aac_pssm_12","aac_pssm_13","aac_pssm_14","aac_pssm_15","aac_pssm_16","aac_pssm_17","aac_pssm_18","aac_pssm_19"
1,-0.47972972973,-0.747747747748,-0.959459459459,-0.873873873874,-0.488738738739,-0.828828828829,-0.858108108108,-1.43018018018,-0.0788288288288,-0.936936936937,-1.02477477477,-1.22522522523,-0.0720720720721,-0.763513513514,-1.35135135135,-0.786036036036,-0.70045045045,-0.891891891892,-0.644144144144,-1.01801801802
1,-0.464720194647,-0.554744525547,-0.839416058394,-0.727493917275,-1.38929440389,-0.74695863747,-0.481751824818,-1.33090024331,-0.496350364964,-0.815085158151,-0.936739659367,-0.902676399027,-0.537712895377,-0.985401459854,-1.05352798054,-0.732360097324,-0.681265206813,-1.58150851582,-0.849148418491,-0.76399026764
1,-0.438805970149,-0.585074626866,-0.761194029851,-0.874626865672,-0.594029850746,-0.555223880597,-0.710447761194,-1.34328358209,0.0567164179104,-0.677611940299,-0.8,-0.707462686567,0.131343283582,-0.692537313433,-1.17611940299,-0.510447761194,-0.573134328358,-0.994029850746,-0.546268656716,-0.764179104478
1,-0.394658753709,-0.617210682493,-0.783382789318,-0.93471810089,-0.661721068249,-0.581602373887,-0.780415430267,-1.29080118694,-0.0771513353116,-0.632047477745,-0.816023738872,-0.741839762611,0.0741839762611,-0.679525222552,-1.14243323442,-0.525222551929,-0.560830860534,-1.10385756677,-0.572700296736,-0.768545994065
1,-0.255458515284,-0.331877729258,-0.637554585153,-0.626637554585,-0.576419213974,-0.382096069869,-0.375545851528,-1.0327510917,0.0917030567686,-0.626637554585,-0.956331877729,-0.548034934498,-0.0152838427948,-0.796943231441,-1.1615720524,-0.430131004367,-0.443231441048,-1.2576419214,-0.456331877729,-0.639737991266
1,-0.24154589372,-0.429951690821,-0.731884057971,-0.782608695652,-0.429951690821,-0.531400966184,-0.562801932367,-1.03140096618,0.0869565217391,-0.62077294686,-0.966183574879,-0.712560386473,-0.0531400966184,-0.760869565217,-1.23188405797,-0.550724637681,-0.413043478261,-1.22463768116,-0.449275362319,-0.570048309179
1,-0.5,-0.738839285714,-1.04241071429,-0.933035714286,-0.589285714286,-0.870535714286,-0.883928571429,-1.48660714286,-0.0379464285714,-1.03571428571,-1.02901785714,-1.28125,-0.234375,-0.868303571429,-1.52455357143,-0.825892857143,-0.651785714286,-1.04910714286,-0.841517857143,-1.04910714286
1,-0.225446428571,-0.363839285714,-0.5625,-0.604910714286,-0.352678571429,-0.314732142857,-0.375,-1.04241071429,0.127232142857,-0.613839285714,-0.966517857143,-0.464285714286,0.0803571428571,-0.819196428571,-1.13616071429,-0.459821428571,-0.348214285714,-1.234375,-0.455357142857,-0.582589285714
1,-0.42345276873,-0.954397394137,-1.30944625407,-1.41368078176,-0.899022801303,-1.2345276873,-1.17915309446,-1.332247557,-0.374592833876,-1.00977198697,-1.29641693811,-1.21172638436,-0.534201954397,-1.42996742671,-1.57328990228,-0.85993485342,-0.827361563518,-1.62214983713,-1.01302931596,-0.944625407166
1,-0.428571428571,-1.17857142857,-1.51948051948,-1.57142857143,-1.03246753247,-1.58766233766,-1.4025974026,-1.4512987013,-0.717532467532,-1.1461038961,-1.48051948052,-1.49350649351,-0.766233766234,-1.72402597403,-1.80519480519,-0.993506493506,-1.00324675325,-1.94480519481,-1.22077922078,-1.0487012987
1,-0.276595744681,-0.755319148936,-0.734042553191,-0.845744680851,-0.702127659574,-0.688829787234,-0.686170212766,-1.07712765957,-0.327127659574,-0.686170212766,-1.0079787234,-0.752659574468,-0.284574468085,-0.984042553191,-1.02925531915,-0.61170212766,-0.518617021277,-1.86968085106,-0.768617021277,-0.686170212766
1,-0.267904509284,-0.721485411141,-0.724137931034,-0.936339522546,-0.750663129973,-0.588859416446,-0.716180371353,-1.05305039788,-0.305039787798,-0.679045092838,-0.896551724138,-0.681697612732,-0.318302387268,-0.978779840849,-1.02917771883,-0.570291777188,-0.564986737401,-1.81962864721,-0.793103448276,-0.652519893899
1,-0.349462365591,-0.766129032258,-0.801075268817,-0.951612903226,-0.629032258065,-0.720430107527,-0.80376344086,-1.15591397849,-0.231182795699,-0.540322580645,-0.884408602151,-0.774193548387,-0.201612903226,-0.927419354839,-0.989247311828,-0.682795698925,-0.572580645161,-1.80913978495,-0.685483870968,-0.639784946237
1,-0.314207650273,-0.489071038251,-0.98087431694,-0.969945355191,-0.756830601093,-0.658469945355,-0.748633879781,-1.1174863388,-0.20218579235,-0.729508196721,-1.03005464481,-0.786885245902,-0.122950819672,-1.02732240437,-1.46174863388,-0.622950819672,-0.560109289617,-1.43989071038,-0.83606557377,-0.715846994536
1,-0.396166134185,-0.936102236422,-0.610223642173,-1.0447284345,-0.143769968051,-0.597444089457,-0.840255591054,-1.23322683706,-0.373801916933,-0.437699680511,-0.996805111821,-0.769968051118,-0.0319488817891,-1.03514376997,-1.47923322684,-0.568690095847,-0.511182108626,-1.53674121406,-0.785942492013,-0.55910543131
1,-0.393292682927,-0.911585365854,-0.643292682927,-1.00914634146,-0.164634146341,-0.59756097561,-0.756097560976,-1.16463414634,-0.44512195122,-0.442073170732,-1.06402439024,-0.728658536585,-0.100609756098,-1.16463414634,-1.43597560976,-0.533536585366,-0.481707317073,-1.60365853659,-0.829268292683,-0.560975609756
