"Class","edp_0","edp_1","edp_2","edp_3","edp_4","edp_5","edp_6","edp_7","edp_8","edp_9","edp_10","edp_11","edp_12","edp_13","edp_14","edp_15","edp_16","edp_17","edp_18","edp_19"
1,2.34659624413,2.49730046948,2.59213615023,2.99049295775,2.86396713615,2.4558685446,2.82042253521,2.7823943662,2.69882629108,3.04683098592,2.629342723,2.75516431925,2.64835680751,2.79647887324,3.02629107981,2.06197183099,2.19154929577,4.14237089202,2.36091549296,2.31103286385
1,2.31025978916,2.62008659639,2.4422251506,3.0140625,2.80958207831,2.24199924699,2.73793298193,2.98612575301,2.88853539157,2.69079442771,2.47208207831,2.57174322289,2.65574171687,2.84764683735,2.94403237952,2.17140436747,2.0031438253,3.97129141566,2.67953689759,2.51007153614
1,2.34246601208,2.51467145015,2.42739803625,3.01312311178,2.82849320242,2.16754154079,2.69964123867,3.00813821752,2.88680135952,2.68366691843,2.54310800604,2.52841767372,2.5980929003,2.84692220544,2.97384818731,2.17770015106,2.05572129909,3.99930135952,2.69208836858,2.48332703927
1,2.32869318182,2.57986742424,2.49857954545,3.07971590909,2.73899621212,2.22482954545,2.69615530303,2.92039772727,2.84623106061,2.709375,2.53857954545,2.56626893939,2.63195075758,2.94414772727,2.98380681818,2.11278409091,1.98577651515,3.95793560606,2.69039772727,2.4184280303
1,2.04597791798,2.45465299685,2.40078864353,2.71253943218,3.01238170347,2.17957413249,2.43888012618,2.80583596215,2.83304416404,2.81411671924,2.44558359621,2.27894321767,2.52058359621,2.55417981073,2.84045741325,1.93320189274,1.92594637224,4.13517350158,2.39574132492,2.47839116719
1,1.88931760204,2.2365752551,2.40392219388,2.81374362245,2.61489158163,1.90806760204,2.3659119898,2.69607780612,2.49333545918,2.4565369898,2.4053252551,2.4090880102,2.28338647959,2.50953443878,2.5821747449,1.85226403061,1.73995535714,3.52235331633,2.07700892857,2.29665178571
1,1.85574238579,2.23842005076,2.30377538071,2.80878807107,2.57097081218,1.90250634518,2.35948604061,2.83112309645,2.47008248731,2.44489213198,2.34907994924,2.41722715736,2.18899111675,2.49349619289,2.68334390863,1.85834390863,1.77763324873,3.53987944162,2.0543464467,2.23677030457
1,1.85962752525,2.29763257576,2.3141729798,2.78576388889,2.58140782828,1.9165719697,2.42471590909,2.70596590909,2.47679924242,2.49984217172,2.37951388889,2.43803661616,2.16909722222,2.51594065657,2.67414772727,1.83456439394,1.75508207071,3.67976641414,2.0391729798,2.24125631313
1,1.66666666667,2.01717002237,2.0774049217,2.32874720358,2.26856823266,1.9110738255,2.13696868009,2.38456375839,2.32142058166,2.15659955257,2.18232662192,2.12544742729,2.02634228188,2.42913870246,2.67729306488,1.62746085011,1.62002237136,3.85083892617,2.15369127517,1.95151006711
1,2.05386318898,2.40115649606,2.38673720472,2.78383366142,2.88550688976,2.06001476378,2.37733759843,2.82394192913,2.83658956693,2.76178641732,2.49224901575,2.31700295276,2.62866633858,2.74515255906,2.95755413386,1.93024114173,1.97133366142,3.69485728346,2.61734744094,2.40691437008
1,6.28193807339,6.55177752294,6.24168577982,8.50166284404,5.88836009174,5.82115825688,7.48721330275,6.48950688073,6.1689793578,7.30487385321,7.16393348624,6.59925458716,6.29638761468,6.96095183486,7.83377293578,5.69202981651,5.66003440367,6.47069954128,5.97069954128,6.83996559633
