ac_0,ac_1,ac_2,ac_3,ac_4,ac_5
0.08500949,0.02365443,-0.01993841,-0.07335984,-0.12473723,-0.12056785
0.10048939,0.15168341,0.05825065,-0.07393591,-0.00187447,-0.10749264
-0.02324046,-0.02664002,0.0337055,-0.09157744,-0.04059589,-0.0190096
-0.0203558,-0.02133854,-0.00227598,-0.12847621,-0.10032604,-0.02917349
-0.13360461,-0.1240627,-0.07231606,-0.09309622,-0.06810009,-0.03508074
0.05078239,0.01606847,0.0408604,-0.03308298,0.02164431,-0.0491366
-0.0460577,-0.05193384,0.04152898,-0.06045895,-0.11820914,0.02254364
-0.04415147,-0.0910705,0.10711917,-0.00294121,-0.01445322,0.06657665
-0.02048131,-0.0235999,0.02428943,-0.02332606,-0.05238757,-0.03143963
-0.04848729,0.06792064,-0.17030409,-0.06557986,-0.11634207,-0.07337661
-0.04264308,-0.01890169,-0.08366201,-0.11449451,-0.09264943,-0.01505728
0.06666892,0.06970561,0.0225014,-0.0233996,-0.07885012,-0.00170198
-0.09361846,-0.05818607,-0.05571954,-0.12851214,-0.08357375,0.05184029
-0.08114389,-0.08694212,-0.03643618,-0.14808435,-0.12735249,-0.13747342
-0.06183501,-0.07446445,0.03907181,-0.05399265,-0.08536158,-0.07410403
-0.05542231,-0.08125693,-0.03570083,-0.11139369,-0.11987504,-0.04583525
-0.10590115,-0.0847401,0.00649107,-0.08655956,-0.04686721,0.03835477
0.00802584,0.03695379,-0.02009884,-0.15471417,-0.11456667,0.05750882
-0.06930328,-0.09861494,-0.06434014,-0.0603948,-0.12783461,-0.02217402
-0.05696236,-0.06935912,-0.04697691,-0.05753064,-0.14181574,0.01611244
-0.09570295,-0.10982079,-0.0812024,-0.06061012,-0.04973212,0.02612707
-0.08030435,-0.04597133,-0.05787891,-0.09333376,-0.06378859,0.00592114
-0.09820146,-0.08080928,-0.02443041,-0.12723609,-0.12604612,-0.072381
-0.05232309,-0.07535,0.04642612,-0.0462895,-0.05578117,0.02505526
-0.00268294,-0.05536022,0.00232714,-0.06762674,-0.07044857,0.02452884
0.01588809,-0.00470359,0.01013288,-0.08097889,-0.07658026,0.04848924
-0.05263444,-0.05979718,-0.00049403,-0.05998225,-0.08654235,-0.08171593
-0.02517844,0.0134245,0.02336457,-0.14275744,-0.06176597,-0.00475937
-0.0054492,-0.03814076,0.0001933,-0.13273342,-0.14070781,-0.068401
0.02503551,0.01481967,-0.0173543,-0.08476907,-0.04357331,0.00058336
0.01305943,0.0162543,0.03352615,-0.01343324,-0.09776365,-0.00246647
0.01045407,-0.01942432,-0.01233354,0.08690843,-0.00250695,0.03228022
