ac_0,ac_1,ac_2,ac_3,ac_4,ac_5
0.03948267,0.08411931,0.01024417,0.03934059,-0.02561752,-0.00015907
0.06186689,-0.05901083,-0.04190366,-0.14271422,-0.08101257,-0.09456999
-0.02616842,-0.08374534,-0.04392588,-0.00551398,-0.04022962,-0.08333964
-0.04864113,0.0034929,-0.06577004,-0.14441535,-0.15881724,0.04715362
-0.06776047,-0.10255688,-0.02602737,-0.18433308,-0.1763842,0.00328267
-0.10368412,-0.10991351,0.01751653,-0.10889563,-0.09463388,0.03775117
0.03556063,0.01084003,0.04856124,-0.12023192,-0.1854128,0.04959973
0.04220408,-0.03659454,0.02017583,-0.28957651,-0.15697224,0.08253152
-0.00316898,0.02974589,-0.00672895,-0.2196987,-0.15413779,0.0463011
-0.09748183,-0.07108988,0.07583497,-0.18603557,-0.20293104,0.07314624
-0.07562652,-0.04348867,-0.02765487,-0.08604773,-0.1452521,-0.02332467
0.03463157,-0.01166388,-0.03601605,-0.01119527,0.01599679,0.04621002
0.0381857,0.03008189,-0.0013862,-0.05333358,-0.04353354,-0.01277013
0.00010842,-0.0384393,-0.0428765,-0.07043536,-0.05266856,-0.00106396
0.03849972,0.0151794,0.06886988,-0.08152004,-0.13736469,0.02344402
0.12538497,0.01632383,0.15350726,-0.06377523,-0.1445986,0.02423447
0.03195506,-0.02319791,0.0820262,-0.16742011,-0.15284658,0.0340521
-0.00572223,-0.05761345,0.04729588,-0.16597285,-0.17725518,-0.0631807
0.00599197,0.00014452,0.01290784,-0.13551954,-0.14057317,0.05769663
-0.04770863,0.0514479,-0.01256616,-0.082422,-0.08505716,0.02791472
-0.03192562,-0.0092771,0.0347539,-0.13276491,-0.17033273,0.06446375
-0.0548554,-0.03244876,0.01293077,-0.05658507,-0.01232139,0.04583535
-0.01923871,-0.06153929,0.03294783,-0.06042961,-0.13793498,0.03930744
0.00076358,-0.03170527,0.0244685,-0.12670257,-0.1482274,-0.05562733
0.02772227,-0.01725126,-0.06729829,-0.12838977,-0.07586273,0.01138576
-0.02617982,-0.0720007,-0.0987037,-0.20015461,-0.0752665,-0.0346471
-0.0486441,-0.07828282,-0.05346095,-0.09860586,-0.08932222,0.01869745
-0.06447013,0.0064409,0.00134673,-0.14371094,-0.11977513,-0.00380903
0.00904879,-0.06270808,-0.05325155,-0.03394056,-0.0534803,-0.02221933
-0.06016287,-0.04178463,0.08145939,-0.07181126,-0.09941444,-0.04770358
0.07342686,0.08821214,-0.00960989,-0.13486134,-0.11643906,0.02934044
0.04375871,-0.02070018,-0.00184853,-0.06347421,-0.11980373,-0.00356638
-0.06472137,-0.06383886,0.029614,-0.08151745,-0.11391816,-0.00723357
0.22561424,0.15255786,0.06464532,0.0071814,0.04047315,-0.02164228
-0.04295908,0.06621145,-0.00638462,-0.00827919,-0.06676967,0.04648753
-0.06771829,-0.00915602,0.10309205,-0.05203822,-0.03926897,0.01668377
-0.08510125,-0.09422595,0.03877394,-0.0202608,-0.04339569,0.03773751
-0.08003138,-0.05316074,0.00472254,-0.03567146,-0.05319405,0.03296413
-0.02832167,0.06206945,0.12063012,-0.17628025,-0.11525263,-0.11040675
-0.080291,-0.04546348,0.03429154,-0.13833571,-0.01543223,-0.02172742
-0.06075766,-0.0171684,0.02960122,-0.11726203,-0.01207466,-0.11812753
-0.03565419,-0.02182885,-0.03484596,-0.11805658,-0.11028856,0.01220895
0.00597223,-0.00382109,0.03436376,-0.14043334,-0.04859312,-0.04200426
-0.07754422,-0.0430225,-0.00266645,-0.07055552,-0.14183702,-0.02674906
-0.12821085,-0.07703409,-0.01770629,-0.04119762,-0.05407384,-0.04019916
-0.11729309,-0.08336258,-0.01614242,0.03053919,-0.02992675,-0.02128911
-0.05819034,-0.05933491,-0.02612984,0.03424056,0.02038534,0.03035856
-0.05569793,-0.05798721,-0.00031071,-0.1623377,-0.19306119,0.08120268
-0.04112714,-0.07200841,0.06960252,-0.04087532,-0.14374139,0.04227644
0.00846747,-0.03245076,0.04862495,-0.05134357,-0.09584346,0.04377886
-0.03290151,0.03432431,-0.00362862,-0.13923041,-0.08051346,-0.00684835
0.04334316,-0.0502255,0.02478346,-0.04503318,-0.06438425,0.00512633
0.0545732,0.04271489,0.03495051,-0.06747916,-0.04279502,0.02485141
-0.0868494,-0.07127134,0.00167713,-0.1592558,-0.10140966,-0.00215463
-0.0510797,-0.06447382,0.01040654,-0.12481924,-0.09370653,-0.01967676
0.04822392,0.09932842,0.05215233,0.07377574,-0.0413626,-0.01366168
-0.09066819,-0.08024675,0.12963611,-0.12528809,-0.11862646,0.03004794
-0.06456828,-0.03231179,-0.02212476,-0.08244052,-0.06398387,0.05671607
-0.16585347,-0.09515081,-0.11093133,-0.02084628,-0.16996941,-0.05430274
0.02401,0.06810618,-0.10330929,-0.03857541,-0.08139002,-0.10458611
-0.09116881,-0.00942208,-0.13642723,-0.02282245,-0.01620978,-0.19177911
0.09206856,-0.01823974,0.0265006,-0.02916837,0.02480781,0.04254998
0.08541869,0.02357938,-0.12613932,-0.13877013,-0.11970172,-0.01840057
-0.00681257,0.19996236,-0.00541404,-0.11207424,-0.05183188,-0.10615664
-0.01857091,0.07122773,-0.06550105,-0.11366234,-0.07467208,0.02548556
-0.09177225,0.15074324,-0.0154558,-0.10098106,-0.04347774,-0.07687805
-0.12793305,-0.09455905,0.09231616,0.09277384,0.01658489,0.07435254
-0.07041894,-0.06240344,0.08341065,-0.00242583,-0.10333973,0.05037285
-0.13374078,-0.07871171,0.05627995,0.03326115,-0.08873273,0.11054286
-0.14775113,-0.10324467,0.02463895,0.01118504,-0.03050367,0.10643485
-0.10253226,-0.1140459,0.08627985,0.02397556,-0.01900405,0.05032666
-0.15602506,-0.10048816,0.05155429,0.02497254,-0.00941919,0.05387251
-0.08710923,-0.08154406,0.00996004,0.00742234,-0.01333871,0.05714555
-0.13340794,-0.0887189,0.05568862,-0.02115809,-0.07792048,0.06769667
-0.14107531,-0.13084614,0.06605746,0.04592441,-0.04330545,0.05897723
-0.11170857,-0.07947996,0.10283842,0.03552197,0.01022419,0.09630913
-0.16627378,-0.18540727,-0.07372755,0.02500358,-0.00486564,0.03734019
-0.19713617,-0.17746021,-0.06983213,-0.07347157,0.00254226,0.02296033
-0.07621578,-0.15011005,0.02411329,0.04877002,0.06507578,-0.0565133
-0.00742963,0.0044572,0.01651312,-0.11010519,-0.11340832,-0.05074498
-0.01482136,-0.02595271,0.04167361,-0.09281824,-0.06495986,-0.00317985
-0.02631304,-0.02057329,0.00113848,-0.24364685,-0.14628513,-0.04548947
-0.04973962,-0.05199312,-0.00998206,-0.11852666,0.06490756,0.00093626
-0.0180603,-0.05858617,0.12576431,-0.01724021,-0.03132313,0.03022319
-0.02137935,0.01564793,0.06289318,-0.03634548,-0.09104663,0.06096467
-0.03806932,-0.0223797,-0.07403791,-0.02417033,-0.05355592,0.02424093
-0.04540547,-0.17862328,-0.0044743,-0.07464608,-0.04434263,-0.00151822
0.15175905,0.06365595,-0.0767091,0.03585246,-0.03464176,0.05423164
0.00510133,0.03680951,-0.03675896,-0.15308107,-0.07225672,-0.07177867
-0.03147266,-0.0104991,0.02086305,-0.12127638,-0.14513971,0.04058434
-0.05585592,0.00424197,0.02122289,-0.12451925,-0.09226178,-0.02736312
-0.06898069,-0.01296793,0.00449508,-0.06503097,-0.06953108,0.0043678
-0.08524337,-0.00720159,0.0207595,-0.13897742,-0.14297276,0.01313349
-0.05154613,-0.03304013,0.0288089,-0.11702856,-0.13397353,0.06394415
-0.0120296,-0.00795175,0.02549497,-0.09430121,-0.11509275,0.01182515
-0.05257752,-0.0398997,0.02402446,-0.13787229,-0.11600505,0.01491237
-0.0148025,-0.04905823,0.06316863,-0.10161947,-0.10561564,-0.01627397
-0.01735495,-0.02495544,0.00234779,-0.12282758,-0.15028804,0.00473359
-0.08123476,-0.03151559,0.01592375,-0.08086693,-0.11536369,0.02356362
-0.05613059,-0.00186134,-0.00222448,-0.15578485,-0.16945748,0.02459529
-0.04436132,0.0179753,-0.02047595,-0.10350953,-0.15721602,0.05006911
-0.11776537,-0.08747956,0.01750244,-0.14192448,-0.08054479,0.02253355
-0.05040292,0.01166925,0.02080767,-0.08536364,-0.07807563,-0.02584221
-0.1108417,0.00705922,-0.00352198,-0.11007003,-0.14519132,0.01013796
-0.05866402,-0.06218845,-0.03285959,-0.18708901,-0.06834461,-0.01065542
-0.01905011,0.03521341,-0.06914507,-0.05778981,-0.06754947,0.02740402
-0.06818427,-0.06148739,-0.01429201,-0.11313919,-0.10310125,0.00326569
-0.12891969,-0.10051466,-0.02558542,-0.08034439,-0.13325853,0.03020097
-0.06466443,-0.00245911,-0.04250231,0.00062633,-0.10369769,0.04387336
-0.03271416,-0.01856523,0.0089242,-0.11448206,-0.07005749,-0.03181714
-0.05774174,-0.0556671,-0.02435967,-0.05991773,-0.06980836,0.04294956
-0.07545813,-0.06558695,0.0223306,-0.00216552,-0.02254029,0.04960936
-0.06568827,-0.04942477,-0.02761134,-0.07294171,-0.06020854,0.04349038
-0.01659829,-0.0647032,0.02235727,0.00572721,-0.04144005,0.05801484
-0.04636753,-0.05447961,-0.01239969,-0.04306076,-0.06287221,0.06887413
-0.05837752,-0.01645165,-0.01166936,-0.00518774,-0.00253261,0.00850572
-0.05213391,-0.09677265,0.02844309,-0.11640622,-0.02058133,-0.02629496
-0.01012443,-0.03965436,0.00556312,-0.08036335,-0.01603405,0.05267728
-0.07103956,-0.05327445,0.01365167,0.01211445,0.00665474,0.04157608
-0.08266615,-0.02150163,0.01543699,0.03019606,-0.02930818,0.02441847
-0.06715408,-0.05928718,-0.0061736,-0.01924263,-0.04509135,0.02898018
-0.07506248,-0.08696515,-0.01954905,-0.08529386,-0.08120244,0.03328178
-0.06428299,-0.04905269,-0.02024312,-0.02016181,0.01222381,0.06142278
-0.0187695,0.00928561,-0.037268,-0.1762599,-0.12488527,-0.01317773
-0.06250387,0.00975448,-0.03351007,-0.1385248,-0.12971823,-0.06391254
-0.06453279,-0.02290178,-0.07256263,-0.03175371,-0.04785702,-0.05103625
-0.03657602,0.01939613,-0.07228478,-0.10119138,-0.04667081,-0.02535326
0.00331379,0.00940431,0.00347258,-0.12192001,-0.12650596,-0.0406849
-0.03829617,-0.06806659,-0.02451121,-0.07937183,-0.13596314,-0.02193667
0.01032678,-0.01464486,-0.03427307,-0.08457535,-0.04104716,0.0386636
0.0029647,-0.00911036,-0.07628294,-0.03340228,0.00371023,-0.02881924
0.01377358,0.00933727,-0.06829062,-0.05176979,-0.00523316,-0.03462395
-0.00530897,0.02518253,-0.05963807,-0.09537636,-0.12411802,-0.03757412
-0.04362424,-0.00928745,-0.02182176,-0.10269329,-0.07832625,-0.09401975
0.01675295,0.00096714,-0.04902323,-0.08107523,-0.10890997,0.00419635
-0.02694902,-0.02629437,-0.04387497,-0.0661968,-0.07556278,-0.00070325
-0.07054687,-0.02079858,-0.04554601,-0.06230383,-0.0738229,-0.09525947
0.01385779,0.02619398,-0.01782374,-0.06425399,-0.08008491,-0.08127792
-0.00097516,0.00871812,-0.03303866,-0.11707042,-0.1067331,-0.03796143
-0.12202506,-0.06169942,-0.11158834,-0.09478596,-0.04186174,0.07387756
-0.11099146,0.0009118,-0.04293709,-0.02009347,-0.06717137,0.07910384
-0.15508113,-0.12508857,-0.0335344,-0.02250368,-0.01943348,0.04894669
-0.04548903,-0.05934197,0.07198498,-0.1451641,-0.12534036,0.06269497
-0.09598563,-0.12498013,0.04413612,-0.11127735,-0.07082173,0.05989676
-0.14591038,-0.05120049,0.02165652,-0.13476425,-0.07865419,0.05472854
-0.120947,-0.08995269,-0.06470261,-0.06098724,-0.05398007,-0.01043904
-0.16231706,-0.10008223,-0.04420727,-0.13057757,-0.13397256,-0.00051698
-0.08313025,-0.00852104,-0.07268394,-0.06360299,-0.01199632,0.06035
-0.12217014,-0.07326561,0.00307967,-0.10962846,-0.02740118,0.05609341
-0.01569549,-0.01153877,-0.00663353,-0.05005984,-0.03542946,-0.05630059
0.00664184,0.00784295,0.04447298,-0.04460543,-0.03251691,-0.02948445
0.02160323,0.03201565,0.01357297,-0.05459055,-0.03131984,-0.04253973
-0.08299713,-0.08932228,-0.01598777,-0.09865584,-0.04892679,-0.01089958
-0.06820651,-0.04704283,0.00676353,-0.07312406,-0.08896727,-0.00390759
-0.02651927,-0.00988101,-0.01303184,-0.09408868,-0.09076049,0.03940344
-0.11371627,-0.11206647,-0.00651828,-0.04426458,-0.04167772,-0.01517334
-0.05385162,-0.02272668,-0.00657364,-0.03470451,-0.06360207,0.01421597
-0.02337219,-0.03583554,-0.00698738,-0.09965448,-0.03907839,-0.01772396
-0.03466035,-0.06870191,-0.01503255,-0.12565656,-0.07191916,-0.04884831
-0.04738338,-0.04298182,-0.0289742,-0.09567261,-0.08000003,-0.01964856
-0.05707717,-0.04213485,0.00980918,-0.12948839,-0.07321653,-0.0136561
-0.02142535,-0.01946659,-0.018238,-0.0509256,-0.0452297,-0.06387994
-0.04071237,-0.04808774,-0.02762203,-0.10244498,-0.08601621,0.00251466
-0.10860787,-0.03455208,-0.03737452,-0.12747387,-0.1369189,-0.05931451
-0.05654746,-0.112119,-0.01697425,-0.08312651,-0.02577819,0.0113188
-0.02226406,-0.06446551,-0.09626312,-0.1187366,-0.08022475,0.00208933
