aac_pssm_0,aac_pssm_1,aac_pssm_2,aac_pssm_3,aac_pssm_4,aac_pssm_5,aac_pssm_6,aac_pssm_7,aac_pssm_8,aac_pssm_9,aac_pssm_10,aac_pssm_11,aac_pssm_12,aac_pssm_13,aac_pssm_14,aac_pssm_15,aac_pssm_16,aac_pssm_17,aac_pssm_18,aac_pssm_19
-0.56976744186,-0.924418604651,-1.35465116279,-1.32558139535,-0.994186046512,-1.11627906977,-0.953488372093,-1.56976744186,-0.674418604651,-0.598837209302,-1.08139534884,-0.831395348837,-0.604651162791,-1.15697674419,-1.48255813953,-0.854651162791,-0.877906976744,-1.56976744186,-0.901162790698,-0.552325581395
-0.482558139535,-1.02906976744,-1.17441860465,-1.35465116279,-0.761627906977,-1.12209302326,-1.10465116279,-1.31976744186,-0.761627906977,-0.662790697674,-0.988372093023,-0.825581395349,-0.56976744186,-1.0523255814,-1.26744186047,-0.866279069767,-0.796511627907,-1.35465116279,-0.767441860465,-0.593023255814
-0.42774566474,-0.826589595376,-1.24855491329,-1.42774566474,-1.06936416185,-1.08670520231,-1.01734104046,-1.4450867052,-0.780346820809,-0.653179190751,-0.982658959538,-0.809248554913,-0.537572254335,-1.06358381503,-1.61271676301,-0.763005780347,-0.757225433526,-1.51445086705,-0.872832369942,-0.537572254335
-0.485549132948,-1.04624277457,-1.22543352601,-1.32947976879,-0.867052023121,-1.15028901734,-1.01156069364,-1.50289017341,-0.728323699422,-0.653179190751,-0.988439306358,-0.815028901734,-0.479768786127,-1.09826589595,-1.5549132948,-0.809248554913,-0.890173410405,-1.36994219653,-0.791907514451,-0.549132947977
-0.724832214765,-1.25503355705,-1.38255033557,-1.67785234899,-2.3355704698,-0.986577181208,-1.28859060403,-2.38926174497,-1.42281879195,-0.798657718121,-1.10067114094,-1.11409395973,-0.677852348993,-1.95973154362,-2.75838926174,-0.946308724832,-0.872483221477,-3.46308724832,-1.78523489933,-0.993288590604
-0.419452887538,-1.24924012158,-1.42553191489,-1.46808510638,-0.984802431611,-1.1914893617,-1.48936170213,-1.42249240122,-0.80547112462,-1.11854103343,-1.08814589666,-1.71732522796,-0.562310030395,-1.36778115502,-1.65045592705,-1.00607902736,-0.696048632219,-1.71732522796,-1.03951367781,-0.878419452888
-0.904761904762,-0.910714285714,-0.660714285714,-0.970238095238,-2.1369047619,-0.383928571429,-0.407738095238,-1.78273809524,-0.925595238095,-0.889880952381,-0.889880952381,-0.392857142857,-0.77380952381,-1.20833333333,-1.73214285714,-0.592261904762,-0.613095238095,-2.1994047619,-0.705357142857,-0.973214285714
-0.232919254658,-1.30124223602,-1.39130434783,-1.41925465839,-0.996894409938,-1.24534161491,-1.50931677019,-1.34782608696,-0.850931677019,-1.16149068323,-1.11801242236,-1.68944099379,-0.630434782609,-1.3850931677,-1.60559006211,-0.916149068323,-0.698757763975,-1.69565217391,-1.17080745342,-0.965838509317
-0.85393258427,-1.23595505618,-1.58426966292,-1.03370786517,-2.40449438202,-1.33707865169,-0.808988764045,-2.14606741573,-1.61797752809,-1.23595505618,-1.11235955056,-1.58426966292,-1.25842696629,-1.47191011236,-2.87640449438,-1.52808988764,-1.32584269663,-2.42696629213,-1.43820224719,-1.30337078652
-0.331460674157,-1.01966292135,-1.06741573034,-1.13202247191,-1.16853932584,-0.977528089888,-0.825842696629,-1.27247191011,-0.345505617978,-0.710674157303,-1.05617977528,-1.0702247191,-0.550561797753,-1.43258426966,-1.66853932584,-0.696629213483,-0.752808988764,-1.86797752809,-1.01123595506,-0.783707865169
