acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17
-0.00949526,-0.10343298,-0.01439651,-0.11350735,-0.12660835,-0.0409562,0.08067868,0.06768449,0.01869795,-0.05311663,0.06311805,-0.05099852,0.07164059,0.08844283,0.17305878,-0.10204323,-0.0056464,0.01791726
0.02043976,-0.01650223,-0.0287002,-0.18530305,-0.1948287,-0.03158759,0.00701282,-0.01586037,-0.01863055,0.01138931,0.07435567,-0.04834671,0.18339794,0.11932557,0.20578528,-0.10532134,0.00357676,-0.01884228
-0.03502388,0.00019599,-0.01296744,-0.08039151,-0.08499863,0.00148764,0.02777692,-0.00645944,-0.03822628,0.02283515,0.08307395,-0.08119737,0.04440034,0.01895334,0.13219306,-0.04144661,4.736e-05,0.02240141
-0.03335992,-0.00637629,0.04553485,-0.32005492,-0.2939547,0.07415445,0.02929541,0.01543493,-0.02381719,0.01509767,0.07511921,-0.04302563,0.31196935,0.0817558,0.31556692,-0.05749027,-0.06753219,0.04777624
0.01923637,0.00402309,-0.03409661,-0.13245753,-0.14443424,-0.01388346,0.03431806,0.00933864,-0.02307372,-0.02774323,0.05042274,-0.04671577,0.13647629,0.04538782,0.17601098,-0.03050086,-0.08109152,0.04465612
-0.00298143,-0.03053972,-0.03290485,0.01222755,0.10888236,-0.03430159,-0.01337761,0.05974761,0.03574042,-0.04098453,-0.13813717,0.11144247,-0.07546384,0.06908422,-0.06289571,-0.03034479,0.1043772,-0.04576466
0.03342787,-0.05228601,0.0059215,-0.05309045,0.0136135,-0.10083076,0.01932194,-0.01842998,0.01432847,0.02404406,0.00682415,-0.02811884,-0.00581856,0.03243731,0.02945356,-0.00226226,0.11864521,-0.01285691
-0.09512488,0.12658741,0.02080898,0.11925667,0.13331633,0.03346804,-0.07959462,0.06192758,0.02260652,-0.10412711,0.05546329,-0.05168079,-0.03317903,-0.0462386,-0.20594462,0.12034742,-0.09782769,0.10755192
-0.03086549,-0.00575888,-0.0230825,-0.03715414,-0.08726883,0.02036754,0.00218872,-0.03427772,0.02078426,0.04315233,-0.00644,0.0353231,0.04952387,-0.01163151,0.06802653,0.02112439,0.01449033,-0.02343741
-0.05086753,-0.0174276,-0.03765757,-0.10812369,-0.03281249,0.03067205,0.03193003,0.01621811,0.01143821,0.02975146,0.04287372,0.01360686,0.07113616,0.017361,0.0479083,-0.0149332,-0.01128882,0.0168103
0.01642253,0.02746976,0.0163067,-0.03712703,-0.03935393,-0.01222057,-0.04543501,-0.0664773,-0.02804549,0.05269598,0.03914311,-0.00728476,0.05184731,0.01218367,0.06296775,0.00435447,-0.00989023,-0.00034108
-0.03045291,-0.02810709,0.07413073,-0.04659512,-0.09927608,0.06325499,-0.01329081,-0.10255089,0.03195802,0.16023123,-0.02354141,0.05398299,0.08795948,-0.11400657,0.08257046,0.08315785,0.00664191,-0.01577291
0.00044816,-0.03660505,0.08919948,-0.02308595,-0.00550078,0.03943672,0.05635985,-0.11118934,-0.01540453,0.10305733,0.04482255,-0.03787049,0.04739626,-0.08198899,0.01386473,0.04750142,-0.07205203,0.02652892
-0.0317718,-0.10320663,0.09845639,-0.07311254,-0.08311588,0.02621727,0.08847621,-0.08756473,0.04343448,0.0730634,0.02135384,-0.04397086,0.03651846,0.05234053,0.12990606,-0.02205517,-0.09214389,0.0330295
-0.05644348,-0.02408796,0.1574146,-0.00848216,-0.01100113,0.06791809,0.05230267,-0.04441966,-0.00123513,-0.00682904,-0.01777404,-0.01632907,-0.00567214,0.03003041,0.05248153,-0.06657549,-0.10522643,0.07008181
-0.05141045,-0.09305364,-0.05136321,-0.06315782,0.0040145,-0.02690008,0.07413819,0.03678715,0.03801448,-0.03156195,-0.00409491,0.03563042,0.02656551,0.03914729,0.01681407,-0.05226677,0.03032824,0.01737451
-0.10230884,-0.05898775,-0.03548772,-0.09391496,0.00880786,-0.03896598,0.11056466,-0.01117796,0.08291269,-0.00503029,0.01962712,0.02504588,0.03035499,0.00285402,0.0384148,-0.05893032,0.02974995,0.05785611
0.02028832,0.05524985,0.06247024,-0.07840233,-0.11648708,-0.02191548,-0.05276977,-0.03008731,-0.06699838,0.05215128,0.00783958,0.01029667,0.0811152,0.0238123,0.12118459,-0.0471374,0.05897007,-0.01572793
0.01441594,0.01811562,0.07035129,-0.04824534,-0.04010422,-0.01489272,0.00272776,-0.02703914,-0.05274721,0.05249847,-0.00557748,0.01302033,0.02624238,0.0204513,0.04665716,-0.01023308,-0.00325442,0.03455826
0.046101,-0.02868122,-0.00396641,-0.0860775,-0.05901775,-0.08643409,0.00087853,-0.02545843,-0.010813,0.02234417,-0.03571104,0.04490609,0.07142918,-0.00254652,0.08686285,0.03910741,0.02286456,-0.01901738
-0.0163296,-0.0191021,0.00239585,-0.11531095,-0.07069955,-0.03194894,0.05575209,-0.03218604,-0.03068378,0.12925757,-0.03038439,0.02280794,0.10632959,0.01214654,0.08841363,-0.01075184,0.09046517,-0.09652098
-0.02426119,-0.00446787,-0.00471318,-0.16002124,-0.14047185,-0.02963621,0.02703511,-0.04306017,0.01518427,0.0456525,-0.00912747,-0.00153473,0.14281951,0.02390618,0.13794141,-0.01080248,0.0623492,-0.05270652
0.07895848,0.0811899,-0.03040662,0.00967533,-0.12869083,0.0291987,-0.09695774,-0.11867874,-0.07539693,0.07463211,-0.03811249,0.0534383,0.05645302,-0.05729908,0.06687924,0.08229564,-0.10318801,0.1281849
-0.000803,-0.15845447,0.00192257,-0.01976257,-0.07571914,0.00047568,0.0731211,-0.05154024,0.0937915,0.03367451,-0.07445127,0.05479116,0.02083431,0.03083807,0.05469048,0.00532404,-0.04665205,0.03373674
0.00992634,-0.10857581,-0.04949694,-0.10961499,-0.125356,-0.05246541,0.09965661,0.03013862,-0.00410333,0.01393532,0.05549946,-0.04892638,0.09945051,-0.01046481,0.11722741,0.04924208,-0.02538545,0.02486788
0.03067402,-0.10880844,-0.08394047,0.03769873,-0.01453292,-0.11999621,0.0543352,-0.03123683,0.04214021,0.01083776,-0.07287694,0.11549938,-0.00858564,0.03478828,0.00991141,0.00967542,0.0252499,-0.03355263
-0.51223376,-0.3023456,0.01576163,0.12591311,0.10177236,0.0553757,0.45173519,0.09121053,0.39412444,-0.12704091,0.31393131,-0.26071042,-0.08965267,-0.11710894,-0.04047843,0.00344416,-0.11730521,0.04338626
-0.38073119,-0.3531281,0.00615432,0.07303203,-0.00877129,0.05725492,0.37105766,0.16701298,0.39232067,-0.20951953,0.05682861,-0.11748494,0.03427782,-0.1727665,-0.10515805,0.16476378,-0.03877846,-0.05422407
-0.55621593,-0.35939933,-0.09613158,0.2187134,0.13922115,0.00252865,0.37148619,0.31744779,0.51331363,-0.28435919,0.26879456,-0.18635045,-0.1601973,-0.18812911,-0.19914304,0.11550285,-0.10623556,0.08886953
-0.29764235,-0.35116853,-0.02038148,0.20836717,0.05609598,-0.02880883,0.39055185,-0.07415154,0.3214777,0.09221697,0.26374847,-0.29693775,-0.17166197,-0.22449622,-0.08284497,0.18404752,-0.06452822,0.05307125
-0.38910186,-0.44708191,0.00667423,0.22561153,0.06544366,0.01780867,0.41653406,0.06207709,0.46711014,-0.06034735,0.15333656,-0.17813848,-0.10338204,-0.23877559,-0.14430145,0.19043013,-0.06823466,-0.02308709
-0.0269293,-0.08316114,0.01817749,0.17869051,0.12200932,-0.08756039,0.02528446,-0.08064039,0.12883085,0.04283542,0.02993061,-0.07321809,-0.16574047,-0.08729651,-0.0783284,0.09041565,-0.03504399,0.06177472
-0.59532616,-0.45374002,-0.08650911,0.51545788,0.34539043,0.03148737,0.52338912,0.08754662,0.51135455,-0.12922385,0.32018163,-0.24204665,-0.42886825,-0.25217755,-0.34935315,0.18795968,-0.15916483,0.08727664
-0.44662629,-0.32702614,-0.00333229,0.3844937,0.1207988,-0.00014616,0.3353949,0.0517793,0.40550775,-0.07519146,0.16425273,-0.13916241,-0.20859909,-0.18498688,-0.21496319,0.08994872,-0.17777207,0.14505656
-0.04564923,-0.04383401,-0.04439912,0.02029707,0.00081954,0.00028008,0.03787445,0.04944855,0.05319738,-0.04676216,0.04757013,-0.03757412,0.01820939,-0.00816638,-0.02573182,0.000985,0.00458953,0.00526711
-0.1065253,-0.04338905,-0.02263556,0.05864403,0.04555403,0.00410105,0.06377478,0.04929499,0.09497482,-0.01664717,0.01678889,0.00811777,-0.03028352,-0.03352078,-0.05454512,0.04477576,-0.09275365,0.10505127
